Entry,Category,Film,Director,Year,IMDB,Country
36,Crime,Goodfellas,Martin Scorsese,1990,http://www.imdb.com/title/tt0099685/,USA
37,Crime,The Conversation,Francis Coppola,1974,http://www.imdb.com/title/tt0071360/,USA
38,Crime,Bonnie & Clyde,Arthur Penn,1967,http://www.imdb.com/title/tt0061418/,USA
39,Crime,The Killing,Stanley Kubrick,1956,http://www.imdb.com/title/tt0049406/,USA
40,Crime,French Connection,William Friedkin,1971,http://www.imdb.com/title/tt0067116/,USA
41,Crime,The Big Sleep,Howard Hawkes,1946,http://www.imdb.com/title/tt0038355/,USA
42,Crime,La Ceremonie,Claude Chabrol,1995,http://www.imdb.com/title/tt0112769/,France
43,Crime,Point Blank,John Boorman,1967,http://www.imdb.com/title/tt0062138/,USA
44,Crime,Hard Boiled,John Woo,1992,http://www.imdb.com/title/tt0104684/,Hong Kong
45,Crime,Long Good Friday,John McKenzie,1980,http://www.imdb.com/title/tt0081070/,UK
46,Crime,A Prophet,Jacques Audiard ,2009,http://www.imdb.com/title/tt1235166/,France
47,Crime,Heat,Michael Mann,1995,http://www.imdb.com/title/tt0113277/,USA
48,Crime,Scarface (1983),Brian De Palma,1983,http://www.imdb.com/title/tt0086250/,USA
49,Crime,Miller Crossing,Joel Coen,1990,http://www.imdb.com/title/tt0100150/,USA
50,Crime,Postman Always Rings Twice  (1942),Tay Garnett,1946,http://www.imdb.com/title/tt0038854/,USA
51,Crime,Jour Se Leve,Marcel Carne,1939,http://www.imdb.com/title/tt0031514/,France
52,Comedy,Annie Hall,Woody Allen,1977,http://www.imdb.com/title/tt0075686/,USA
53,Comedy,Borat,Larry Charles,2006,http://www.imdb.com/title/tt0443453/,USA
54,Comedy,Some Like it Hot,Billy Wilder,1959,http://www.imdb.com/title/tt0053291/,USA
55,Comedy,Team America,Trey Parker,2004,http://www.imdb.com/title/tt0372588/,USA
56,Comedy,Dr Strangelove,Stanley Kubrick,1964,http://www.imdb.com/title/tt0057012/,UK
57,Comedy,The Ladykillers,Alexander Mackendrick,1955,http://www.imdb.com/title/tt0048281/,UK
58,Comedy,Duck Soup,Leo McCarey,1933,http://www.imdb.com/title/tt0023969/,USA
59,Comedy,Rushmore,Wes Anderson,1998,http://www.imdb.com/title/tt0128445/,USA
60,Comedy,Kind Hearts & Coronets,Robert Hamer,1949,http://www.imdb.com/title/tt0041546/,UK
61,Comedy,Monty Python's Life of Brian,Terry Jones,1979,http://www.imdb.com/title/tt0079470/,UK
62,Comedy,Airplane!,Jim Abrahams,1980,http://www.imdb.com/title/tt0080339/,USA
